,Lon,lon_minus_90,lat_minus_90,lon_minus_85,lat_minus_85,lon_minus_80,lat_minus_80,lon_minus_75,lat_minus_75,lon_minus_70,lat_minus_70,lon_minus_65,lat_minus_65,lon_minus_60,lat_minus_60,lon_minus_55,lat_minus_55,lon_minus_50,lat_minus_50,lon_minus_45,lat_minus_45,lon_minus_40,lat_minus_40,lon_minus_35,lat_minus_35,lon_minus_30,lat_minus_30,lon_minus_25,lat_minus_25,lon_minus_20,lat_minus_20,lon_minus_15,lat_minus_15,lon_minus_10,lat_minus_10,lon_minus_5,lat_minus_5,lon__0,lat__0,lon__5,lat__5,lon__10,lat__10,lon__15,lat__15,lon__20,lat__20,lon__25,lat__25,lon__30,lat__30,lon__35,lat__35,lon__40,lat__40,lon__45,lat__45,lon__50,lat__50,lon__55,lat__55,lon__60,lat__60,lon__65,lat__65,lon__70,lat__70,lon__75,lat__75,lon__80,lat__80,lon__85,lat__85,lon__90,lat__90
0,0,125.73628997802734,-74.38825225830078,134.4279022216797,-78.90827178955078,153.61134338378906,-82.91109466552734,-161.525146484375,-84.86729431152344,-117.30378723144531,-82.7957763671875,-98.35857391357422,-78.7100830078125,-89.48554992675781,-74.06725311279297,-84.29457092285156,-69.20469665527344,-80.75614929199219,-64.20773315429688,-78.10940551757812,-59.10190963745117,-76.04103088378906,-53.89959716796875,-74.42560577392578,-48.616065979003906,-73.21943664550781,-43.2748908996582,-72.40362548828125,-37.90671157836914,-71.95111083984375,-32.54289627075195,-71.81415557861328,-27.207626342773438,-71.92887878417969,-21.912660598754883,-72.22758483886719,-16.657236099243164,-72.64965057373047,-11.431865692138672,-73.1466064453125,-6.223515510559082,-73.6824951171875,-1.0203022956848145,-74.2313461303711,4.185244083404541,-74.77418518066406,9.394665718078613,-75.29646301269531,14.603979110717773,-75.78652954101562,19.80582046508789,-76.23501586914062,24.992656707763672,-76.6350326538086,30.160083770751953,-76.98291015625,35.30921936035156,-77.27925872802734,40.44773483276367,-77.53056335449219,45.58953094482422,-77.75161743164062,50.75337219238281,-77.96956634521484,55.96061325073242,-78.23150634765625,61.2321662902832,-78.62113189697266,66.58446502685547,-79.30496215820312,72.02440643310547,-80.70503234863281,77.54315948486328,-84.52667999267578,83.10382843017578
1,1,125.73628997802734,-74.38825225830078,134.02581787109375,-78.94282531738281,152.60435485839844,-83.02912902832031,-161.52980041503906,-85.12594604492188,-115.26978302001953,-83.03893280029297,-96.2818603515625,-78.893798828125,-87.57599639892578,-74.2084732055664,-82.50723266601562,-69.31110382080078,-79.04796600341797,-64.28109741210938,-76.45440673828125,-59.14118194580078,-74.42747497558594,-53.90283966064453,-72.8531723022461,-48.58189392089844,-71.69633483886719,-43.20405578613281,-70.94265747070312,-37.80313491821289,-70.56483459472656,-32.413578033447266,-70.51105499267578,-27.06109619140625,-70.71176147460938,-21.757076263427734,-71.09406280517578,-16.49896812438965,-71.59359741210938,-11.275084495544434,-72.15983581542969,-6.070526123046875,-72.75584411621094,-0.8721605539321899,-73.35555267333984,4.328093528747559,-73.94041442871094,9.531925201416016,-74.49662780761719,14.735230445861816,-75.0135726928711,19.930442810058594,-75.4830551147461,25.109882354736328,-75.89952850341797,30.269105911254883,-76.26075744628906,35.40931701660156,-76.56891632080078,40.53834533691406,-76.83230590820312,45.67032241821289,-77.06783294677734,50.824195861816406,-77.30545043945312,56.021446228027344,-77.59638214111328,61.282981872558594,-78.03129577636719,66.62505340576172,-78.79096984863281,72.05412292480469,-80.33560943603516,77.56040954589844,-84.52667999267578,83.10382843017578
2,2,125.73628997802734,-74.38825225830078,133.61758422851562,-78.97550964355469,151.544921875,-83.14289855957031,-161.58897399902344,-85.385009765625,-113.11849212646484,-83.27738952636719,-94.14543914794922,-79.06910705566406,-85.63323974609375,-74.33964538574219,-80.69729614257812,-69.4056396484375,-77.32173919677734,-64.34000396728516,-74.78340148925781,-59.16263198852539,-72.7990493774414,-53.88406753540039,-71.26710510253906,-48.52107620239258,-70.16153717041016,-43.102108001708984,-69.47261810302734,-37.665000915527344,-69.17243957519531,-32.247833251953125,-69.20451354980469,-26.878032684326172,-69.49321746826172,-21.566280364990234,-69.96039581298828,-16.307771682739258,-70.53813934326172,-11.08817195892334,-71.17391204833984,-5.890376567840576,-71.83003997802734,-0.6998125314712524,-72.48043060302734,4.492327690124512,-73.10700225830078,9.687928199768066,-73.69676208496094,14.882786750793457,-74.24011993408203,20.06914520263672,-74.73014068603516,25.239171981811523,-75.16259765625,30.388397216796875,-75.53677368164062,35.518096923828125,-75.85643768310547,40.63627243041992,-76.13166809082031,45.757240295410156,-76.38157653808594,50.90011215209961,-76.638916015625,56.086483001708984,-76.95903778076172,61.33723068237305,-77.43959045410156,66.66837310791016,-78.27568054199219,72.08585357666016,-79.96576690673828,77.57884216308594,-84.52667999267578,83.10382843017578
3,3,125.73628997802734,-74.38825225830078,133.2034912109375,-79.00628662109375,150.43238830566406,-83.25214385986328,-161.71253967285156,-85.64437103271484,-110.8396224975586,-83.51041412353516,-91.94920349121094,-79.23542785644531,-83.65861511230469,-74.46031951904297,-78.8663330078125,-69.4878158569336,-75.57916259765625,-64.3839111328125,-73.09818267822266,-59.165489196777344,-71.15776062011719,-53.84228515625,-69.66969299316406,-48.43235397338867,-68.61760711669922,-42.96766662597656,-67.9963150024414,-37.490928649902344,-67.77671813964844,-32.04447555541992,-67.89704132080078,-26.657487869262695,-68.27530670166016,-21.339574813842773,-68.82817077636719,-16.083139419555664,-69.48433685302734,-10.870752334594727,-70.18953704833984,-5.6827921867370605,-70.90547180175781,-0.503053605556488,-71.60608673095703,4.678092956542969,-72.27386474609375,9.862774848937988,-72.89663696289062,15.046709060668945,-73.46588897705078,20.22195053100586,-73.97591400146484,25.380531311035156,-74.42391204833984,30.517942428588867,-74.81062316894531,35.635536193847656,-75.14148712158203,40.74147415161133,-75.42839813232422,45.85022735595703,-75.692626953125,50.98108673095703,-75.96976470947266,56.155704498291016,-76.3193130493164,61.39488220214844,-76.84591674804688,66.7143783569336,-77.7590560913086,72.11957550048828,-79.59549713134766,77.59847259521484,-84.52667999267578,83.10382843017578
4,4,125.73628997802734,-74.38825225830078,132.78378295898438,-79.03514099121094,149.26638793945312,-83.35658264160156,-161.912841796875,-85.90391540527344,-108.42227935791016,-83.73727416992188,-89.69357299804688,-79.39214324951172,-81.65376281738281,-74.56999969482422,-77.01612091064453,-69.5571517944336,-73.82205963134766,-64.4122543334961,-71.4007797241211,-59.1490364074707,-69.50585174560547,-53.776554107666016,-68.06348419189453,-48.314605712890625,-67.06742095947266,-42.79950714111328,-66.51680755615234,-37.27979278564453,-66.38066101074219,-31.80261993408203,-66.59131622314453,-26.398866653442383,-67.06023406982422,-21.076589584350586,-67.69900512695312,-15.82485294342041,-68.43330383300781,-10.62269115447998,-69.20738220214844,-5.447681903839111,-69.9824447631836,-0.28182095289230347,-70.73260498046875,4.885430812835693,-71.44091033935547,10.05648422241211,-72.09603881835938,15.226994514465332,-72.6905746459961,20.388845443725586,-73.22007751464844,25.53392791748047,-73.68312072753906,30.65770149230957,-74.08201599121094,35.761592864990234,-74.42379760742188,40.8538932800293,-74.72223663330078,45.949256896972656,-75.0007553100586,51.06707763671875,-75.29781341552734,56.22905731201172,-75.67705535888672,61.455902099609375,-76.25016021728516,66.76304626464844,-77.24099731445312,72.15526580810547,-79.22479248046875,77.6192855834961,-84.52667999267578,83.10382843017578
5,5,125.73628997802734,-74.38825225830078,132.35874938964844,-79.06202697753906,148.04684448242188,-83.45590209960938,-162.20558166503906,-86.16352844238281,-105.85521697998047,-83.9570541381836,-87.37946319580078,-79.5386962890625,-79.62055969238281,-74.66826629638672,-75.14860534667969,-69.61325073242188,-72.05247497558594,-64.42453002929688,-69.693359375,-59.112632751464844,-67.84577178955078,-53.686031341552734,-66.45130157470703,-48.16682434082031,-65.51412963867188,-42.596622467041016,-65.03740692138672,-37.03077697753906,-64.98747253417969,-31.521759033203125,-65.29013061523438,-26.10196304321289,-65.85021209716797,-20.777320861816406,-66.57454681396484,-15.533001899719238,-67.38616943359375,-10.344100952148438,-68.22811889648438,-5.185147762298584,-69.0613021850586,-0.03619925677776337,-69.86006164550781,5.114270210266113,-70.60802459716797,10.26899242401123,-71.29476165771484,15.423583030700684,-71.91388702392578,20.56976318359375,-72.46227264404297,25.69929313659668,-72.93990325927734,30.807607650756836,-73.3505859375,35.89619445800781,-73.70304870605469,40.97348403930664,-74.01287841796875,46.054264068603516,-74.30570983886719,51.15803527832031,-74.62285614013672,56.306514739990234,-75.03211975097656,61.520267486572266,-75.65220642089844,66.81436920166016,-76.7214584350586,72.19290924072266,-78.85364532470703,77.64128875732422,-84.52667999267578,83.10382843017578
6,6,125.73628997802734,-74.38825225830078,131.92869567871094,-79.08694458007812,146.77406311035156,-83.54984283447266,-162.6109619140625,-86.42303466796875,-103.12698364257812,-84.16879272460938,-85.00837707519531,-79.6744613647461,-77.56121826171875,-74.75472259521484,-73.26596069335938,-69.65570831298828,-70.2725830078125,-64.4202880859375,-67.97827911376953,-59.05567932128906,-66.1801528930664,-53.569976806640625,-64.83612060546875,-47.98818588256836,-63.96107864379883,-42.35826873779297,-63.56160354614258,-36.74342727661133,-63.60042190551758,-31.201818466186523,-63.99629211425781,-25.76699447631836,-64.64744567871094,-20.442150115966797,-65.45641326904297,-15.208001136779785,-66.34400939941406,-10.035354614257812,-67.25238800048828,-4.8954925537109375,-68.14234161376953,0.23357638716697693,-68.9885025024414,5.364426136016846,-69.77509307861328,10.500150680541992,-70.4925308227539,15.636347770690918,-71.1355209350586,20.764589309692383,-71.7021484375,25.876527786254883,-72.1938705444336,30.967561721801758,-72.6159896850586,36.03925323486328,-72.97891235351562,41.10015106201172,-73.30006408691406,46.16516876220703,-73.60726928710938,51.25389099121094,-73.94470977783203,56.388023376464844,-74.38433074951172,61.58794021606445,-75.05194854736328,66.86833190917969,-76.20037841796875,72.23251342773438,-78.4820327758789,77.66444396972656,-84.52667999267578,83.10382843017578
7,7,125.73628997802734,-74.38825225830078,131.49391174316406,-79.10983276367188,145.44874572753906,-83.63810729980469,-163.1554412841797,-86.68220520019531,-100.22637176513672,-84.37142181396484,-82.58242797851562,-79.79885864257812,-75.47817993164062,-74.82896423339844,-71.3704605102539,-69.6842041015625,-68.48470306396484,-64.39913177490234,-66.25801086425781,-58.97767639160156,-64.51181030273438,-53.427764892578125,-63.22117614746094,-47.77805709838867,-62.41181564331055,-42.08401870727539,-62.09299850463867,-36.41769027709961,-62.22285461425781,-30.843156814575195,-62.712589263916016,-25.394624710083008,-63.45407485961914,-20.071849822998047,-64.34610748291016,-14.8505859375,-65.30780792236328,-9.697075843811035,-66.28077697753906,-4.579214572906494,-67.22582244873047,0.5271202921867371,-68.11795806884766,5.635602951049805,-68.94196319580078,10.749723434448242,-69.6890869140625,15.865094184875488,-70.35511016845703,20.973163604736328,-70.93936920166016,26.06548309326172,-71.4446792602539,31.137439727783203,-71.87789916992188,36.19066619873047,-72.25108337402344,41.23381805419922,-72.58350372314453,46.28191375732422,-72.90519714355469,51.35459899902344,-73.26316833496094,56.47352981567383,-73.73357391357422,61.65888595581055,-74.44926452636719,66.92488861083984,-75.67766571044922,72.27406311035156,-78.10995483398438,77.68878936767578,-84.52667999267578,83.10382843017578
8,8,125.73628997802734,-74.38825225830078,131.0547332763672,-79.13069152832031,144.07205200195312,-83.72037506103516,-163.87413024902344,-86.9407730102539,-97.1429214477539,-84.5637435913086,-80.10443115234375,-79.91136169433594,-73.3741455078125,-74.8906478881836,-69.46456909179688,-69.69842529296875,-66.69126892089844,-64.36075592041016,-64.53517150878906,-58.87821578979492,-62.84366226196289,-53.25893020629883,-61.60979461669922,-47.5360221862793,-60.86997604370117,-41.77375030517578,-60.635223388671875,-36.05393600463867,-60.858009338378906,-30.44660758972168,-61.44165802001953,-24.98595428466797,-62.2721061706543,-19.667564392089844,-63.245059967041016,-14.461799621582031,-64.27848052978516,-9.33013916015625,-65.31378936767578,-4.237005710601807,-66.31195831298828,0.8438990116119385,-67.24838256835938,5.927389621734619,-68.10844421386719,11.017393112182617,-68.8841781616211,16.109567642211914,-69.57235717773438,21.19527816772461,-70.17354583740234,26.2659912109375,-70.69195556640625,31.317096710205078,-71.13594818115234,36.35029602050781,-71.51923370361328,41.37435531616211,-71.86292266845703,46.40439224243164,-72.19922637939453,51.46007537841797,-72.57803344726562,56.56298828125,-73.07965850830078,61.73305892944336,-73.84404754638672,66.9840087890625,-75.15327453613281,72.31752014160156,-77.73738861083984,77.71427917480469,-84.52667999267578,83.10382843017578
9,9,125.73628997802734,-74.38825225830078,130.6114959716797,-79.14949798583984,142.6455535888672,-83.79638671875,-164.81483459472656,-87.1983642578125,-93.86759948730469,-84.74445343017578,-77.57783508300781,-80.01139831542969,-71.25206756591797,-74.93950653076172,-67.55085754394531,-69.69813537597656,-64.89480590820312,-64.30486297607422,-62.81246566772461,-58.75697708129883,-61.17875671386719,-53.06312942504883,-60.00539779663086,-47.26192855834961,-59.33922576904297,-41.427711486816406,-59.191837310791016,-35.652984619140625,-59.50898742675781,-30.01346778869629,-60.18596267700195,-24.54250717163086,-61.103336334228516,-19.230806350708008,-62.15449142456055,-14.042983055114746,-63.256813049316406,-8.935649871826172,-64.35185241699219,-3.8697402477264404,-65.40089416503906,1.1832364797592163,-66.3797607421875,6.239265441894531,-67.27433776855469,11.302751541137695,-68.07746887207031,16.369447708129883,-68.786865234375,21.4306640625,-69.40428161621094,26.477828979492188,-69.935302734375,31.506349563598633,-70.38977813720703,36.518001556396484,-70.78303527832031,41.52165603637695,-71.13802337646484,46.53250503540039,-71.48915100097656,51.57024383544922,-71.88911437988281,56.65633010864258,-72.42243957519531,61.8104248046875,-73.23617553710938,67.04569244384766,-74.62711334228516,72.36288452148438,-77.36434936523438,77.74093627929688,-84.52667999267578,83.10382843017578
